name,team,pos,comp_pct,pass_yds,pass_td,pass_int,pass_td_%,QB_Rating,Fourth_Qtr_Comebacks
Trevor Siemian,QB,NYJ,56.2,724,2,4,1.3,14.4,1
Mason Rudolph,QB,PIT,74.3,719,3,0,4.1,70.6,0
P.J. Walker,QB,CLE,48.6,674,1,5,0.9,18.6,2
Mitchell Trubisky,QB,PIT,62.6,632,4,5,3.7,34.6,0
Anthony Richardson,QB,IND,59.5,577,3,1,3.6,45.0,0
Drew Lock,QB,SEA,63.2,543,3,3,3.9,44.1,1
Jarrett Stidham,QB,DEN,60.6,496,2,1,3.0,31.1,0
Dorian Thompson-Robinson,QB,CLE,53.6,440,1,4,0.9,34.4,0
Andy Dalton,QB,CAR,58.6,361,2,0,3.4,48.4,0
Tim Boyle,QB,NYJ,62.3,360,1,4,1.3,10.9,0
C.J. Beathard,QB,JAX,75.5,349,1,0,1.9,55.2,0
Sam Darnold,QB,SFO,60.9,297,2,1,4.3,49.3,0
Case Keenum,QB,HOU,64.2,291,1,3,1.9,21.2,1
Jameis Winston,QB,NOR,53.2,264,2,3,4.3,35.6,0
Brian Hoyer,QB,LVR,54.8,231,0,2,0.0,69.0,0
Jacoby Brissett,QB,WAS,78.3,224,3,0,13.0,95.6,0
Tyler Huntley,QB,BAL,56.8,203,3,0,8.1,56.7,0
Blaine Gabbert,QB,KAN,51.4,185,0,3,0.0,47.1,1
Davis Mills,QB,HOU,46.2,173,2,0,5.1,48.7,0
Brett Rypien,QB,LAR,47.4,172,0,1,0.0,19.9,0
Jaren Hall,QB,MIN,65.0,168,0,1,0.0,5.1,0
Jeff Driskel,QB,CLE,50.0,166,2,2,7.7,4.1,0
Marcus Mariota,QB,PHI,65.2,164,1,1,4.3,59.9,0
Carson Wentz,QB,LAR,70.8,163,2,1,8.3,89.9,1
Cooper Rush,QB,DAL,75.0,144,0,1,0.0,52.1,0
Taysom Hill,QB,NOR,54.5,83,1,0,9.1,50.0,0
Mike White,QB,MIA,83.3,74,1,1,16.7,0.1,0
Malik Willis,QB,TEN,80.0,74,0,0,0.0,3.0,0
Clayton Tune,QB,ARI,57.1,62,0,2,0.0,1.2,0
Keenan Allen,WR,LAC,50.0,49,1,0,50.0,98.8,0
Sean Clifford,QB,GNB,100.0,37,0,0,0.0,100.0,0
Jalen Reeves-Maybin,LB,DET,100.0,31,0,0,0.0,,0
Braden Mann,P,PHI,100.0,28,0,0,0.0,,0
Logan Woodside,QB,ATL,75.0,27,0,1,0.0,4.4,0
Drake London,WR,ATL,100.0,22,0,0,0.0,99.9,0
A.J. McCarron,QB,CIN,80.0,19,0,0,0.0,1.6,0
Thomas Morstead,P,NYJ,100.0,18,0,0,0.0,,0
Kenneth Gainwell,RB,PHI,100.0,17,0,0,0.0,98.9,0
Dontayvion Wicks,WR,GNB,100.0,14,0,0,0.0,94.3,0
Derrick Henry,RB,TEN,66.7,14,2,0,66.7,94.5,0
Logan Cooke,P,JAX,100.0,13,0,0,0.0,,0
Jakobi Meyers,WR,LVR,66.7,12,1,0,33.3,39.0,0
Tommy Townsend,P,KAN,100.0,11,0,0,0.0,,0
Johnny Hekker,P,CAR,100.0,7,0,0,0.0,,0
Devin Singletary,RB,HOU,100.0,6,1,0,100.0,100.0,0
Jerick McKinnon,RB,KAN,100.0,4,1,0,100.0,89.8,0
Dyami Brown,WR,WAS,100.0,4,0,0,0.0,2.2,0
Jonnu Smith,TE,ATL,0.0,0,0,0,0.0,0.7,0
Nathan Peterman,QB,CHI,,0,0,0,,2.1,0
Tyler Boyd,WR,CIN,0.0,0,0,1,0.0,0.0,0
Tanner Hudson,TE,CIN,,0,0,0,,0.0,0
Amon-Ra St. Brown,WR,DET,,0,0,0,,0.0,0
Tank Dell,WR,HOU,,0,0,0,,1.1,0
Kadarius Toney,WR,KAN,0.0,0,0,0,0.0,0.3,0
De'Von Achane,RB,MIA,,0,0,0,,0.1,0
Cedrick Wilson Jr.,WR,MIA,,0,0,0,,0.1,0
Cam Akers,RB,MIN,,0,0,0,,,0
Justin Jefferson,WR,MIN,0.0,0,0,0,0.0,14.2,0
Malik Cunningham,QB,NWE,,0,0,0,,,0
Parris Campbell,WR,NYG,,0,0,0,,0.0,0
Aaron Rodgers,QB,NYJ,0.0,0,0,0,0.0,2.5,0
Garrett Wilson,WR,NYJ,0.0,0,0,0,0.0,3.2,0
DeAndre Hopkins,WR,TEN,0.0,0,0,0,0.0,17.2,0
Connor Heyward,TE,PIT,0.0,0,0,0,0.0,7.1,0
Josh Jacobs,RB,LVR,,0,0,0,,0.2,0
DeeJay Dallas,RB,SEA,,0,0,0,,12.4,0
Deebo Samuel,WR,SFO,0.0,0,0,0,0.0,4.8,0
Chris Godwin,WR,TAM,0.0,0,0,0,0.0,0.8,0
Kyle Trask,QB,TAM,0.0,0,0,0,0.0,1.2,0
Christian Kirk,WR,JAX,50.0,-1,0,0,0.0,3.1,0
Ja'Marr Chase,WR,CIN,100.0,-7,0,0,0.0,1.8,0
,,,,,,,,,
Ja'Marr Chase,WR,CIN,100.0,-7,0,0,0.0,1.8,0
